BibCode,Title,Author,AUaff1,AUaff2,AUaff3,Publication,Date,YYYY,URL,DOI,Notes,Instru,ObsDate,ProjCode,TAC,Subject
2012ApJ...753..160W,The Frequency of Hot Jupiters Orbiting nearby Solar-type Stars,"Wright, J.|Marcy, G.|Howard, A.|et. al.",,,,ApJ 753 160,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/753/2/160,10.1088/0004-637X/753/2/160,,HIRES,,,,
2012ApJ...753..163G,"IDCS J1426.5+3508: Cosmological Implications of a Massive, Strong Lensing Cluster at z = 1.75","Gonzalez, A.|Stanford, S.|Brodwin, M.|et. al.",,,,ApJ 753 163,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/753/2/163,10.1088/0004-637X/753/2/163,,LRIS,,,UC,
2012ApJ...753..164S,"IDCS J1426.5+3508: Discovery of a Massive, Infrared-selected Galaxy Cluster at z = 1.75","Stanford, S.|Brodwin, M.|Gonzalez, A.|et. al.",,,,ApJ 753 164,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/753/2/164,10.1088/0004-637X/753/2/164,,LRIS,,,UC,
2012ApJ...753..162B,IDCS J1426.5+3508: Sunyaev-Zel'dovich Measurement of a Massive Infrared-selected Cluster at z = 1.75,"Brodwin, M.|Gonzalez, A.|Stanford, S.|et. al.",,,,ApJ 753 162,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/753/2/164,10.1088/0004-637X/753/2/164,,LRIS,,,UC,
2012ApJ...753..156K,"Further Defining Spectral Type ""Y"" and Exploring the Low-mass End of the Field Brown Dwarf Mass Function","Kirkpatrick, J.|Gelino, C.|Cushing, M.|et. al.",,,,ApJ 753 156,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/753/2/156,10.1088/0004-637X/753/2/156,,NIRSPEC,,,,
2012ApJ...754...64H,The Gas/Dust Ratio of Circumstellar Disks: Testing Models of Planetesimal Formation,"Horne, D.|Gibb, E.|Rettig, T.|et. al.",,,,ApJ 754 64,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/754/1/64,10.1088/0004-637X/754/1/64,NASA TAC - 17-18 Feb 06,NIRSPEC,,,NASA,
2012AJ....144...17M,A Precision Photometric Comparison between SDSS-II and CSP Type Ia Supernova Data,"Mosher, J.|Sako, M.|Corlies, L.|et. al.",,,,AJ 144 17,2012 July,2012,http://dx.doi.org/10.1088/0004-6256/144/1/17,10.1088/0004-6256/144/1/17,This work is based in part on observations made at the following telescopes.....The W. M. Keck Observatory is operated...,LRIS,,,,
2012A&A...543L...5G,"Doppler tomography of transiting exoplanets: A prograde, low-inclined orbit for the hot Jupiter CoRoT-11b","Gandolfi, D.|Collier Cameron, A.|Endl, M.|et. al.",,,,A&A 543 L5,2012 July,2012,http://dx.doi.org/10.1051/0004-6361/201219533,10.1051/0004-6361/201219533,exoplanet|NASA TAC - 1Jul09|first author - ESTEC/ESA,HIRES,,,NASA,
2012ApJ...754...37D,The HD 192263 System: Planetary Orbital Period and Stellar Variability Disentangled,"Dragomir, D.|Kane, S.|Henry, G.|et. al.",,,,ApJ 754 37,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/754/1/37,10.1088/0004-637X/754/1/37,,HIRES,,,,
2012ApJ...753..169W,The Anglo-Australian Planet Search. XXII. Two New Multi-planet Systems,"Wittenmyer, R.|Horner, J.|Tuomi, M.|et. al.",,,,ApJ 753 169,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/753/2/169,10.1088/0004-637X/753/2/169,,HIRES,,,,
2012ApJ...753..149M,YSOVAR: Six Pre-main-sequence Eclipsing Binaries in the Orion Nebula Cluster,"Morales-Calderón, M.|Stauffer, J.|Stassun, K.|et. al.",,,,ApJ 753 149,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/753/2/149,10.1088/0004-637X/753/2/149,"NASA TAC - November 9, 2011 - NIRSPEC",HIRES|NIRSPEC,,,Caltech|NASA,
2012ApJ...753....8V,The M31 Velocity Vector. II. Radial Orbit Towards the Milky Way and Implied Local Group Mass,"van der Marel, R.|Fardal, M.|Besla, G.|et. al.",,,,ApJ 753 8,2012 July,2012,http://dx.doi.org/10.1088/0004-637X/753/1/8,10.1088/0004-637X/753/1/8,per Raja Guha Thakurta email 22Dec13.  No mention of Keck|instrument added 10May2016 Table 2 per Raja in response to S. Kulkarni's email,DEIMOS,,,,
2012ApJ...753L..21B,The Primeval Populations of the Ultra-Faint Dwarf Galaxies,"Brown, T.|Tumlinson, J.|Geha, M.|et. al.",,,,ApJ 753 L21,2012 July,2012,http://dx.doi.org/10.1088/2041-8205/753/1/L21,10.1088/2041-8205/753/1/L21,per Raja Guha Thakurta email 22Dec13,DEIMOS,,,Caltech,
2012ApJ...754L...2B,The Nature of Hypervelocity Stars and the Time between Their Formation and Ejection,"Brown, W.|Cohen, J.|Geller, M.|Kenyon, S.",,,,ApJ 754 L2,2012 July,2012,http://dx.doi.org/10.1088/2041-8205/754/1/L2,10.1088/2041-8205/754/1/L2,,HIRES,,,Caltech,
2012ApJS..201...15H,Planet Occurrence within 0.25 AU of Solar-type Stars from Kepler,"Howard, A.|Marcy, G.|Bryson, S.|et. al.",,,,ApJS 201 15,2012 August,2012,http://dx.doi.org/10.1088/0067-0049/201/2/15,10.1088/0067-0049/201/2/15,nasa added from NASA bib,HIRES,,,UC|NASA,
2012MNRAS.424.2800L,SHARP – I. A high-resolution multiband view of the infrared Einstein ring of JVAS B1938+666,"Lagattuta, D.|Vegetti, S.|Fassnacht, C.|et. al.",,,,MNRAS 424 2800,2012 August,2012,http://dx.doi.org/10.1111/j.1365-2966.2012.21406.x,10.1111/j.1365-2966.2012.21406.x,,AO|LGS|NIRC2,,,UC,
2012ApJ...754..141M,Early-type Galaxies at z = 1.3. I. The Lynx Supercluster: Cluster and Groups at z = 1.3. Morphology and Color-Magnitude Relation,"Mei, S.|Stanford, S.|Holden, B|et. al.",,,,ApJ 754 141,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/754/2/141,10.1088/0004-637X/754/2/141,,DEIMOS|LRIS,,,UC,
2012ApJ...754..135M,"Masses, Radii, and Cloud Properties of the HR 8799 Planets","Marley, M.|Saumon, D.|Cushing, M.|et. al.",,,,ApJ 754 135,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/754/2/135,10.1088/0004-637X/754/2/135,,AO|NGS|NIRC2,,,,
2012ApJ...755...42V,The PTF Orion Project: A Possible Planet Transiting a T-Tauri Star,"van Eyken, J.|Ciardi, D.|von Braun, K.|et. al.",,,,ApJ 755 42,2012 August,2012,http://dx.doi.org/10.1088/0004-637X/755/1/42,10.1088/0004-637X/755/1/42,,AO|NGS|NIRC2|HIRES,,,Caltech,
2012A&A...544A..71L,Strong Lensing by a Node of the Cosmic Web. The Core of MACS J0717.5+3745 at z=0.55,"Limousin, M.|Ebeling, H.|Richard, J.|et. al.",,,,A&A 544 A71,2012 August,2012,http://dx.doi.org/10.1051/0004-6361/201117921,10.1051/0004-6361/201117921,,LRIS,,,,
